Algorithm,Array Size,Repetition,Elem 1,Elem 1 Time (ns),Elem 1 Iterations,Elem 2,Elem 2 Time (ns),Elem 2 Iterations,Elem 3,Elem 3 Time (ns),Elem 3 Iterations,Avg (ns)
Binary Search,10,1,2,300,3,5,100,4,7,100,3,166.667
Binary Search,10,2,2,100,3,5,0,4,7,100,3,66.6667
Binary Search,10,3,2,0,3,5,0,4,7,0,3,0
Binary Search,10,4,2,0,3,5,0,4,7,0,3,0
Binary Search,10,5,2,100,3,5,0,4,7,0,3,33.3333
Binary Search,100,1,3,100,5,229,100,1,523,100,3,100
Binary Search,100,2,3,100,5,229,100,1,523,100,3,100
Binary Search,100,3,3,0,5,229,100,1,523,100,3,66.6667
Binary Search,100,4,3,100,5,229,0,1,523,100,3,66.6667
Binary Search,100,5,3,100,5,229,100,1,523,100,3,100
Binary Search,1000,1,3,300,8,3571,0,1,7907,100,3,133.333
Binary Search,1000,2,3,100,8,3571,0,1,7907,0,3,33.3333
Binary Search,1000,3,3,100,8,3571,100,1,7907,0,3,66.6667
Binary Search,1000,4,3,100,8,3571,0,1,7907,0,3,33.3333
Binary Search,1000,5,3,100,8,3571,0,1,7907,0,3,33.3333
Binary Search,10000,1,3,300,13,48611,0,1,104723,100,3,133.333
Binary Search,10000,2,3,200,13,48611,0,1,104723,0,3,66.6667
Binary Search,10000,3,3,200,13,48611,100,1,104723,0,3,100
Binary Search,10000,4,3,100,13,48611,100,1,104723,100,3,100
Binary Search,10000,5,3,100,13,48611,100,1,104723,100,3,100
Binary Search,100000,1,3,400,15,611953,100,1,1299689,100,3,200
Binary Search,100000,2,3,100,15,611953,0,1,1299689,100,3,66.6667
Binary Search,100000,3,3,100,15,611953,0,1,1299689,0,3,33.3333
Binary Search,100000,4,3,100,15,611953,0,1,1299689,0,3,33.3333
Binary Search,100000,5,3,200,15,611953,0,1,1299689,100,3,100
Binary Search,250000,1,3,400,16,1655131,100,1,3497849,0,3,166.667
Binary Search,250000,2,3,100,16,1655131,0,1,3497849,0,3,33.3333
Binary Search,250000,3,3,100,16,1655131,0,1,3497849,0,3,33.3333
Binary Search,250000,4,3,100,16,1655131,100,1,3497849,100,3,100
Binary Search,250000,5,3,100,16,1655131,0,1,3497849,0,3,33.3333
Linear Search,10,1,2,0,1,5,100,3,7,100,4,66.6667
Linear Search,10,2,2,100,1,5,100,3,7,0,4,66.6667
Linear Search,10,3,2,100,1,5,0,3,7,100,4,66.6667
Linear Search,10,4,2,100,1,5,100,3,7,0,4,66.6667
Linear Search,10,5,2,100,1,5,0,3,7,100,4,66.6667
Linear Search,100,1,3,100,2,229,200,50,523,300,99,200
Linear Search,100,2,3,0,2,229,100,50,523,300,99,133.333
Linear Search,100,3,3,100,2,229,200,50,523,400,99,233.333
Linear Search,100,4,3,0,2,229,100,50,523,400,99,166.667
Linear Search,100,5,3,0,2,229,200,50,523,300,99,166.667
Linear Search,1000,1,3,0,2,3571,1500,500,7907,2900,999,1466.67
Linear Search,1000,2,3,100,2,3571,1400,500,7907,2999,999,1499.67
Linear Search,1000,3,3,0,2,3571,1500,500,7907,2800,999,1433.33
Linear Search,1000,4,3,0,2,3571,1600,500,7907,2800,999,1466.67
Linear Search,1000,5,3,0,2,3571,1500,500,7907,2800,999,1433.33
Linear Search,10000,1,3,0,2,48611,25200,5000,104723,26200,9999,17133.3
Linear Search,10000,2,3,100,2,48611,13800,5000,104723,27100,9999,13666.7
Linear Search,10000,3,3,100,2,48611,13000,5000,104723,27500,9999,13533.3
Linear Search,10000,4,3,0,2,48611,13799,5000,104723,26000,9999,13266.3
Linear Search,10000,5,3,100,2,48611,13500,5000,104723,26000,9999,13200
Linear Search,100000,1,3,100,2,611953,216799,50000,1299689,311498,99999,176132
Linear Search,100000,2,3,100,2,611953,130899,50000,1299689,260599,99999,130533
Linear Search,100000,3,3,0,2,611953,174999,50000,1299689,335398,99999,170132
Linear Search,100000,4,3,100,2,611953,131599,50000,1299689,260598,99999,130766
Linear Search,100000,5,3,0,2,611953,130800,50000,1299689,372997,99999,167932
Linear Search,250000,1,3,100,2,1655131,341398,125000,3497849,818496,249999,386665
Linear Search,250000,2,3,200,2,1655131,326398,125000,3497849,813995,249999,380198
Linear Search,250000,3,3,100,2,1655131,404298,125000,3497849,719996,249999,374798
Linear Search,250000,4,3,100,2,1655131,444698,125000,3497849,734596,249999,393131
Linear Search,250000,5,3,100,2,1655131,391698,125000,3497849,835795,249999,409198
Interpolation Search,10,1,2,300,1,5,100,2,7,100,3,166.667
Interpolation Search,10,2,2,100,1,5,0,2,7,100,3,66.6667
Interpolation Search,10,3,2,100,1,5,0,2,7,100,3,66.6667
Interpolation Search,10,4,2,0,1,5,0,2,7,100,3,33.3333
Interpolation Search,10,5,2,100,1,5,100,2,7,100,3,100
Interpolation Search,100,1,3,200,2,229,200,3,523,100,3,166.667
Interpolation Search,100,2,3,0,2,229,100,3,523,100,3,66.6667
Interpolation Search,100,3,3,100,2,229,100,3,523,100,3,100
Interpolation Search,100,4,3,100,2,229,100,3,523,100,3,100
Interpolation Search,100,5,3,100,2,229,0,3,523,0,3,33.3333
Interpolation Search,1000,1,3,200,2,3571,200,4,7907,0,2,133.333
Interpolation Search,1000,2,3,100,2,3571,200,4,7907,0,2,100
Interpolation Search,1000,3,3,100,2,3571,200,4,7907,100,2,133.333
Interpolation Search,1000,4,3,100,2,3571,100,4,7907,100,2,100
Interpolation Search,1000,5,3,0,2,3571,100,4,7907,100,2,66.6667
Interpolation Search,10000,1,3,100,2,48611,200,3,104723,100,1,133.333
Interpolation Search,10000,2,3,100,2,48611,100,3,104723,0,1,66.6667
Interpolation Search,10000,3,3,100,2,48611,100,3,104723,100,1,100
Interpolation Search,10000,4,3,100,2,48611,100,3,104723,0,1,66.6667
Interpolation Search,10000,5,3,100,2,48611,100,3,104723,0,1,66.6667
Interpolation Search,100000,1,3,100,2,611953,400,6,1299689,100,2,200
Interpolation Search,100000,2,3,0,2,611953,300,6,1299689,100,2,133.333
Interpolation Search,100000,3,3,100,2,611953,200,6,1299689,100,2,133.333
Interpolation Search,100000,4,3,100,2,611953,200,6,1299689,100,2,133.333
Interpolation Search,100000,5,3,0,2,611953,100,6,1299689,100,2,66.6667
Interpolation Search,250000,1,3,100,2,1655131,300,6,3497849,100,1,166.667
Interpolation Search,250000,2,3,0,2,1655131,100,6,3497849,100,1,66.6667
Interpolation Search,250000,3,3,100,2,1655131,200,6,3497849,100,1,133.333
Interpolation Search,250000,4,3,100,2,1655131,100,6,3497849,100,1,100
Interpolation Search,250000,5,3,100,2,1655131,200,6,3497849,0,1,100
